spygen_code,label,prediction,residual
SPY231712,0,0,0
SPY212760,1,1,0
SPY210647,0,0,0
SPY231688,1,1,0
SPY210702,0,0,0
SPY210704,0,0,0
SPY210724,0,0,0
SPY210654,1,1,0
SPY210640,0,0,0
SPY201953,1,1,0
SPY211282,0,0,0
SPY201174,1,1,0
SPY231692,1,1,0
SPY210697,0,0,0
SPY212766,1,1,0
SPY210721,0,0,0
SPY210637,1,1,0
SPY202491,1,1,0
SPY232833,0,0,0
SPY201964,0,0,0
SPY211044,1,1,0
SPY210706,0,0,0
SPY210709,0,0,0
SPY210701,0,0,0
SPY212769,1,1,0
SPY210722,0,0,0
SPY212767,1,1,0
SPY210705,0,0,0
SPY210649,1,1,0
SPY211275,0,0,0
SPY210711,0,0,0
SPY231683,1,1,0
SPY210725,0,0,0
SPY210714,0,0,0
SPY210727,0,0,0
SPY210720,0,0,0
SPY211052,0,0,0
SPY210718,0,0,0
SPY211058,0,0,0
SPY210716,0,0,0
SPY232831,0,0,0
SPY212768,1,1,0
SPY210719,0,0,0
SPY211051,1,1,0
SPY210723,0,0,0
SPY201963,0,0,0
SPY212765,1,1,0
SPY232830,0,0,0
SPY210700,0,0,0
SPY201962,1,1,0
SPY210713,0,0,0
SPY210726,0,0,0
SPY210707,0,0,0
SPY210641,0,0,0
SPY201198,1,1,0
SPY231684,1,1,0
SPY211053,0,0,0
SPY210636,0,0,0
SPY211057,0,0,0
SPY202495,1,1,0
SPY231914,1,1,0
SPY211047,1,1,0
SPY210703,0,0,0
SPY211045,1,1,0
SPY212762,1,1,0
SPY231694,1,1,0
SPY211046,1,1,0
SPY210698,0,0,0
SPY231686,1,1,0
SPY231693,1,1,0
SPY211063,1,1,0
SPY210642,0,0,0
SPY202500,1,1,0
SPY210652,0,0,0
SPY210708,0,0,0
SPY200468,1,1,0
SPY210728,0,0,0
SPY201159,0,0,0
SPY231690,1,1,0
SPY231689,1,1,0
SPY201192,1,1,0
SPY231685,1,1,0
SPY210695,0,0,0
SPY211284,0,0,0
SPY210696,0,0,0
SPY231691,1,1,0
SPY211064,1,1,0
SPY232834,0,0,0
SPY210699,0,0,0
SPY231711,0,0,0
SPY210717,0,0,0
SPY201961,1,1,0
SPY210715,0,0,0
SPY212764,1,1,0
SPY231913,1,1,0
SPY212763,1,1,0
SPY210712,0,0,0
SPY201952,1,1,0
SPY201181,1,1,0
SPY200474,1,1,0
SPY201166,0,0,0
SPY211306,0,0,0
SPY210710,0,0,0
SPY211056,1,1,0
SPY201957,0,0,0
SPY201966,0,0,0
SPY201187,1,1,0
SPY231687,1,1,0
